season,celebrity_name,ballroom_partner,celebrity_industry,celebrity_age_during_season,celebrity_homestate,celebrity_homecountry/region,placement,results,elimination_week,avg_judge_score,age_group
1,Evander Holyfield,Edyta Sliwinska,Athlete,42,Alabama,United States,5,Eliminated Week 3,3,150.0,40-50
1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,32,Massachusetts,United States,3,3rd Place,999,175.83333333333334,30-40
1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,Maine,United States,2,2nd Place,999,241.66666666666666,50-60
1,Kelly Monaco,Alec Mazo,Actor/Actress,29,Pennsylvania,United States,1,1st Place,999,213.33333333333334,20-30
1,Rachel Hunter,Jonathan Roberts,Model,35,,New Zealand,4,Eliminated Week 4,4,237.5,30-40
1,Trista Sutter,Louis van Amstel,TV Personality,32,Indiana,United States,6,Eliminated Week 2,2,185.0,30-40
2,Drew Lachey,Cheryl Burke,Singer/Rapper,29,Ohio,United States,1,1st Place,999,274.37475,20-30
2,George Hamilton,Edyta Sliwinska,Actor/Actress,66,Tennessee,United States,5,Eliminated Week 6,6,216.66666666666666,60+
2,Giselle Fernandez,Jonathan Roberts,News Anchor,44,,Mexico,8,Eliminated Week 3,3,230.0,40-50
2,Jerry Rice,Anna Trebunskaya,Athlete,43,Mississippi,United States,2,2nd Place,999,225.20825,40-50
2,Kenny Mayne,Andrea Hale,Sports Broadcaster,46,Washington,United States,10,Eliminated Week 1,1,130.0,40-50
2,Lisa Rinna,Louis van Amstel,Actor/Actress,42,California,United States,4,Eliminated Week 7,7,240.71428571428572,40-50
2,Master P,Ashly DelGrosso,Singer/Rapper,35,Louisiana,United States,7,Eliminated Week 4,4,125.0,30-40
2,Stacy Keibler,Tony Dovolani,Athlete,26,Maryland,United States,3,3rd Place,999,275.208125,20-30
2,Tatum O'Neal,Nick Kosovich,Actor/Actress,42,California,United States,9,Eliminated Week 2,2,200.0,40-50
2,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,39,Hawaii,United States,6,Eliminated Week 5,5,230.0,30-40
3,Emmitt Smith,Cheryl Burke,Athlete,37,Florida,United States,1,1st Place,999,257.6666,30-40
3,Harry Hamlin,Ashly DelGrosso,Actor/Actress,54,California,United States,9,Eliminated Week 3,3,200.0,50-60
3,Jerry Springer,Kym Johnson,TV Personality,62,,England,5,Eliminated Week 7,7,204.28571428571428,60+
3,Joey Lawrence,Edyta Sliwinska,Actor/Actress,30,Pennsylvania,United States,3,3rd Place,999,233.0,30-40
3,Mario Lopez,Karina Smirnoff,Actor/Actress,32,California,United States,2,2nd Place,999,268.6666,30-40
3,Monique Coleman,Louis van Amstel,Actor/Actress,25,South Carolina,United States,4,Eliminated Week 8,8,249.375,20-30
3,Sara Evans,Tony Dovolani,Singer/Rapper,35,Missouri,United States,6,Withdrew,-1,105.0,30-40
3,Shanna Moakler,Jesse DeSoto,Model,31,Rhode Island,United States,10,Eliminated Week 2,2,200.0,30-40
3,Tucker Carlson,Elena Grinenko,TV Personality,37,California,United States,11,Eliminated Week 1,1,120.0,30-40
3,Vivica A. Fox,Nick Kosovich,Actor/Actress,42,Indiana,United States,8,Eliminated Week 4,4,242.5,40-50
3,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,25,Florida,United States,7,Eliminated Week 5,5,244.0,20-30
4,Apolo Anton Ohno,Julianne Hough,Athlete,24,Washington,United States,1,1st Place,999,268.8332,20-30
4,Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,45,Kentucky,United States,5,Eliminated Week 8,8,190.0,40-50
4,Clyde Drexler,Elena Grinenko,Athlete,44,Louisiana,United States,8,Eliminated Week 5,5,156.0,40-50
4,Heather Mills,Jonathan Roberts,Model,39,,England,7,Eliminated Week 6,6,221.66666666666666,30-40
4,Ian Ziering,Cheryl Burke,Actor/Actress,42,New Jersey,United States,4,Eliminated Week 9,9,242.77777777777777,40-50
4,Joey Fatone,Kym Johnson,Singer/Rapper,30,New York,United States,2,2nd Place,999,267.6665,30-40
4,John Ratzenberger,Edyta Sliwinska,Actor/Actress,59,Connecticut,United States,6,Eliminated Week 7,7,190.71428571428572,50-60
4,Laila Ali,Maksim Chmerkoskiy,Athlete,29,Florida,United States,3,3rd Place,999,262.3332,20-30
4,Leeza Gibbons,Tony Dovolani,TV Personality,50,South Carolina,United States,9,Eliminated Week 4,4,190.0,50-60
4,Paulina Porizkova,Alec Mazo,Model,41,,Czechoslovakia,11,Eliminated Week 2,2,200.0,40-50
4,Shandi Finnessey,Brian Fortuna,Beauty Pagent,28,Missouri,United States,10,Eliminated Week 3,3,200.0,20-30
5,Albert Reed,Anna Trebunskaya,Model,22,Florida,United States,11,Eliminated Week 2,2,210.0,20-30
5,Cameron Mathison,Edyta Sliwinska,Actor/Actress,38,,Canada,5,Eliminated Week 8,8,242.5,30-40
5,Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,30,Michigan,United States,9,Eliminated Week 4,4,207.5,30-40
5,Helio Castroneves,Julianne Hough,Racing Driver,32,,Brazil,1,1st Place,999,266.49989999999997,30-40
5,Jane Seymour,Tony Dovolani,Actor/Actress,56,,England,6,Eliminated Week 7,7,244.28571428571428,50-60
5,Jennie Garth,Derek Hough,Actor/Actress,35,Illinois,United States,4,Eliminated Week 9,9,252.77777777777777,30-40
5,Josie Maran,Alec Mazo,Model,29,California,United States,12,Eliminated Week 1,1,160.0,20-30
5,Marie Osmond,Jonathan Roberts,Singer/Rapper,47,Utah,United States,3,3rd Place,999,242.5,40-50
5,Mark Cuban,Kym Johnson,TV Personality,49,Pennsylvania,United States,8,Eliminated Week 5,5,204.0,40-50
5,Mel B,Maksim Chmerkoskiy,Singer/Rapper,32,,England,2,2nd Place,999,272.3332,30-40
5,Sabrina Bryan,Mark Ballas,Actor/Actress,23,California,United States,7,Eliminated Week 6,6,270.0,20-30
5,Wayne Newton,Cheryl Burke,Singer/Rapper,65,Virginia,United States,10,Eliminated Week 3,3,173.33333333333334,60+
6,Adam Carolla,Julianne Hough,Radio Personality,43,California,United States,9,Eliminated Week 4,4,185.0,40-50
6,Cristian de la Fuente,Cheryl Burke,Actor/Actress,34,,Chile,3,3rd Place,999,247.5,30-40
6,Jason Taylor,Edyta Sliwinska,Athlete,33,Pennsylvania,United States,2,2nd Place,999,261.5,30-40
6,Kristi Yamaguchi,Mark Ballas,Athlete,36,California,United States,1,1st Place,999,282.0,30-40
6,Mario,Karina Smirnoff,Singer/Rapper,21,Maryland,United States,5,Eliminated Week 8,8,252.5,20-30
6,Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,35,New York,United States,4,Eliminated Week 9,9,232.22222222222223,30-40
6,Marlee Matlin,Fabian Sanchez,Actor/Actress,42,Illinois,United States,7,Eliminated Week 6,6,223.33333333333334,40-50
6,Monica Seles,Jonathan Roberts,Athlete,34,,Yugoslavia,11,Eliminated Week 2,2,150.0,30-40
6,Penn Jillette,Kym Johnson,Magician,53,Massachusetts,United States,12,Eliminated Week 2,2,165.0,50-60
6,Priscilla Presley,Louis van Amstel,Actor/Actress,62,New York,United States,8,Eliminated Week 5,5,228.0,60+
6,Shannon Elizabeth,Derek Hough,Actor/Actress,34,Texas,United States,6,Eliminated Week 7,7,242.14285714285714,30-40
6,Steve Guttenberg,Anna Trebunskaya,Actor/Actress,49,New York,United States,10,Eliminated Week 3,3,183.33333333333334,40-50
7,Brooke Burke,Derek Hough,TV Personality,37,Connecticut,United States,1,1st Place,999,269.5,30-40
7,Cloris Leachman,Corky Ballas,Actor/Actress,82,Iowa,United States,7,Eliminated Week 6,6,175.0,60+
7,Cody Linley,Julianne Hough,Actor/Actress,18,Texas,United States,4,Eliminated Week 9,9,228.33333333333334,<20
7,Jeffrey Ross,Edyta Sliwinska,Comedian,43,New Jersey,United States,13,Eliminated Week 1,1,120.0,40-50
7,Kim Kardashian,Mark Ballas,TV Personality,27,California,United States,11,Eliminated Week 2,2,177.5,20-30
7,Lance Bass,Lacey Schwimmer,Singer/Rapper,29,Mississippi,United States,3,3rd Place,999,243.5,20-30
7,Maurice Greene,Cheryl Burke,Athlete,34,Kansas,United States,5,Eliminated Week 8,8,224.375,30-40
7,Misty May-Treanor,Maksim Chmerkoskiy,Athlete,31,California,United States,10,Withdrew,-1,42.0,30-40
7,Rocco DiSpirito,Karina Smirnoff,TV Personality,41,New York,United States,9,Eliminated Week 4,4,178.75,40-50
7,Susan Lucci,Tony Dovolani,Actor/Actress,61,New York,United States,6,Eliminated Week 7,7,219.28571428571428,60+
7,Ted McGinley,Inna Brayer,Actor/Actress,50,California,United States,12,Eliminated Week 1,1,185.0,50-60
7,Toni Braxton,Alec Mazo,Singer/Rapper,40,Maryland,United States,8,Eliminated Week 5,5,223.0,40-50
7,Warren Sapp,Kym Johnson,Athlete,35,Florida,United States,2,2nd Place,999,242.5,30-40
8,Belinda Carlisle,Jonathan Roberts,Singer/Rapper,50,California,United States,13,Eliminated Week 2,2,175.0,50-60
8,Chuck Wicks,Julianne Hough,Singer/Rapper,29,Delaware,United States,6,Eliminated Week 8,8,229.375,20-30
8,David Alan Grier,Kym Johnson,Actor/Actress,52,Michigan,United States,9,Eliminated Week 5,5,208.0,50-60
8,Denise Richards,Maksim Chmerkoskiy,Actor/Actress,38,Illinois,United States,12,Eliminated Week 3,3,183.33333333333334,30-40
8,Gilles Marini,Cheryl Burke,Actor/Actress,33,,France,2,2nd Place,999,276.8181818181818,30-40
8,Holly Madison,Dmitry Chaplin,TV Personality,30,Oregon,United States,11,Eliminated Week 4,4,172.5,30-40
8,Lawrence Taylor,Edyta Sliwinska,Athlete,50,Virginia,United States,7,Eliminated Week 7,7,197.14285714285714,50-60
8,Lil' Kim,Derek Hough,Singer/Rapper,34,New York,United States,5,Eliminated Week 9,9,255.55555555555554,30-40
8,Melissa Rycroft,Tony Dovolani,TV Personality,26,Texas,United States,3,3rd Place,999,266.8181818181818,20-30
8,Shawn Johnson,Mark Ballas,Athlete,17,Iowa,United States,1,1st Place,999,264.54545454545456,<20
8,Steve Wozniak,Karina Smirnoff,Entrepreneur,58,California,United States,10,Eliminated Week 4,4,130.0,50-60
8,Steve-O,Lacey Schwimmer,TV Personality,34,,England,8,Eliminated Week 6,6,158.33333333333334,30-40
8,Ty Murray,Chelsie Hightower,Athlete,39,Arizona,United States,4,Eliminated Week 10,10,218.0,30-40
9,Aaron Carter,Karina Smirnoff,Singer/Rapper,21,Florida,United States,5,Eliminated Week 8,8,258.124625,20-30
9,Ashley Hamiliton,Edyta Sliwinska,Actor/Actress,34,California,United States,16,Eliminated Week 1,1,189.99900000000002,30-40
9,Chuck Liddell,Anna Trebunskaya,Athlete,39,California,United States,11,Eliminated Week 4,4,187.5,30-40
9,Debi Mazar,Maksim Chmerkoskiy,Actor/Actress,45,New York,United States,12,Eliminated Week 3,3,200.0,40-50
9,Donny Osmond,Kym Johnson,Singer/Rapper,51,Utah,United States,1,1st Place,999,264.6662,50-60
9,Joanna Krupa,Derek Hough,Model,30,,Poland,4,Eliminated Week 9,9,270.55533333333335,30-40
9,Kathy Ireland,Tony Dovolani,Model,46,California,United States,14,Eliminated Week 2,2,189.9995,40-50
9,Kelly Osbourne,Louis van Amstel,TV Personality,24,,England,3,3rd Place,999,244.7216,20-30
9,Louie Vito,Chelsie Hightower,Athlete,21,Ohio,United States,8,Eliminated Week 6,6,213.333,20-30
9,Macy Gray,Jonathan Roberts,Singer/Rapper,42,Ohio,United States,15,Eliminated Week 1,1,189.99900000000002,40-50
9,Mark Dacascos,Lacey Schwimmer,Actor/Actress,45,Hawaii,United States,6,Eliminated Week 7,7,242.14257142857144,40-50
9,Melissa Joan Hart,Mark Ballas,Actor/Actress,33,New York,United States,9,Eliminated Week 6,6,228.33316666666667,30-40
9,Michael Irvin,Anna Demidova,Athlete,43,Florida,United States,7,Eliminated Week 7,7,193.57114285714286,40-50
9,Mya,Dmitry Chaplin,Singer/Rapper,29,Washington D.C.,United States,2,2nd Place,999,284.33299999999997,20-30
9,Natalie Coughlin,Alec Mazo,Athlete,27,California,United States,10,Eliminated Week 5,5,239.99960000000002,20-30
9,Tom DeLay,Cheryl Burke,Politician,62,Texas,United States,13,Withdrew,-1,52.999900000000004,60+
10,Aiden Turner,Edyta Sliwinska,Actor/Actress,32,,England,9,Eliminated Week 4,4,176.25,30-40
10,Buzz Aldrin,Ashly DelGrosso,Astronaut,80,New Jersey,United States,10,Eliminated Week 3,3,130.0,60+
10,Chad Ochocinco,Cheryl Burke,Athlete,32,Florida,United States,4,Eliminated Week 9,9,221.66655555555556,30-40
10,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,32,Maine,United States,3,3rd Place,999,249.4998,30-40
10,Evan Lysacek,Anna Trebunskaya,Athlete,24,Illinois,United States,2,2nd Place,999,262.88870000000003,20-30
10,Jake Pavelka,Chelsie Hightower,TV Personality,32,Texas,United States,7,Eliminated Week 6,6,213.33316666666667,30-40
10,Kate Gosselin,Tony Dovolani,TV Personality,35,Pennsylvania,United States,8,Eliminated Week 5,5,154.0,30-40
10,Nicole Scherzinger,Derek Hough,Singer/Rapper,31,Hawaii,United States,1,1st Place,999,280.7776,30-40
10,Niecy Nash,Louis van Amstel,Actor/Actress,40,California,United States,5,Eliminated Week 8,8,209.99975,40-50
10,Pamela Anderson,Damian Whitewood,Model,42,,Canada,6,Eliminated Week 7,7,234.28542857142858,40-50
10,Shannen Doherty,Mark Ballas,Actor/Actress,38,Tennessee,United States,11,Eliminated Week 2,2,190.0,30-40
11,Audrina Patridge,Tony Dovolani,TV Personality,25,California,United States,7,Eliminated Week 6,6,243.333,20-30
11,Brandy,Maksim Chmerkoskiy,Singer/Rapper,31,Mississippi,United States,4,Eliminated Week 9,9,265.9721111111111,30-40
11,Bristol Palin,Mark Ballas,TV Personality,19,Alaska,United States,3,3rd Place,999,221.0414,<20
11,David Hasselhoff,Kym Johnson,Actor/Actress,58,Maryland,United States,12,Eliminated Week 1,1,150.0,50-60
11,Florence Henderson,Corky Ballas,Actor/Actress,76,Indiana,United States,8,Eliminated Week 5,5,191.0,60+
11,Jennifer Grey,Derek Hough,Actor/Actress,50,New York,United States,1,1st Place,999,269.875,50-60
11,Kurt Warner,Anna Trebunskaya,Athlete,39,Iowa,United States,5,Eliminated Week 8,8,220.312375,30-40
11,Kyle Massey,Lacey Schwimmer,Actor/Actress,19,Georgia,United States,2,2nd Place,999,247.4581,<20
11,Margaret Cho,Louis van Amstel,Comedian,41,California,United States,10,Eliminated Week 3,3,170.0,40-50
11,Michael Bolton,Chelsie Hightower,Singer/Rapper,57,Connecticut,United States,11,Eliminated Week 2,2,140.0,50-60
11,Rick Fox,Cheryl Burke,Athlete,41,,Canada,6,Eliminated Week 7,7,237.67857142857142,40-50
11,The Situation,Karina Smirnoff,TV Personality,28,New York,United States,9,Eliminated Week 4,4,167.5,20-30
12,Chelsea Kane,Mark Ballas,Actor/Actress,22,Arizona,United States,3,3rd Place,999,259.6666,20-30
12,Chris Jericho,Cheryl Burke,Athlete,40,New York,United States,7,Eliminated Week 6,6,223.33333333333334,40-50
12,Hines Ward,Kym Johnson,Athlete,35,,South Korea,1,1st Place,999,259.4166,30-40
12,Kendra Wilkinson,Louis van Amstel,TV Personality,25,California,United States,6,Eliminated Week 7,7,211.25,20-30
12,Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,60,Kansas,United States,2,2nd Place,999,238.99989999999997,60+
12,Mike Catherwood,Lacey Schwimmer,Radio Personality,32,California,United States,11,Eliminated Week 2,2,150.0,30-40
12,Petra Nemcova,Dmitry Chaplin,Model,31,,Czechoslovakia,8,Eliminated Week 5,5,212.0,30-40
12,Ralph Macchio,Karina Smirnoff,Actor/Actress,49,New York,United States,4,Eliminated Week 9,9,231.94444444444446,40-50
12,Romeo,Chelsie Hightower,Singer/Rapper,21,Louisiana,United States,5,Eliminated Week 8,8,234.375,20-30
12,Sugar Ray Leonard,Anna Trebunskaya,Athlete,54,North Carolina,United States,9,Eliminated Week 4,4,187.5,50-60
12,Wendy Williams,Tony Dovolani,TV Personality,46,New Jersey,United States,10,Eliminated Week 3,3,153.33333333333334,40-50
13,Carson Kressley,Anna Trebunskaya,TV Personality,41,Pennsylvania,United States,8,Eliminated Week 5,5,194.0,40-50
13,Chaz Bono,Lacey Schwimmer,TV Personality,42,California,United States,7,Eliminated Week 6,6,188.33333333333334,40-50
13,Chynna Phillips,Tony Dovolani,Singer/Rapper,43,California,United States,9,Eliminated Week 4,4,225.0,40-50
13,David Arquette,Kym Johnson,Actor/Actress,40,Virginia,United States,6,Eliminated Week 7,7,220.71428571428572,40-50
13,Elisabetta Canalis,Valentin Chmerkovskiy,Actor/Actress,33,,Italy,11,Eliminated Week 2,2,180.0,30-40
13,Hope Solo,Maksim Chmerkoskiy,Athlete,30,Washington,United States,4,Eliminated Week 9,9,230.55533333333335,30-40
13,J.R. Martinez,Karina Smirnoff,Actor/Actress,28,Louisiana,United States,1,1st Place,999,263.1665,20-30
13,Kristin Cavallari,Mark Ballas,TV Personality,24,Colorado,United States,10,Eliminated Week 3,3,216.66666666666666,20-30
13,Metta World Peace (Ron),Peta Murgatroyd,Athlete,31,New York,United States,12,Eliminated Week 1,1,140.0,30-40
13,Nancy Grace,Tristan MacManus,TV Personality,51,Georgia,United States,5,Eliminated Week 8,8,211.25,50-60
13,Ricki Lake,Derek Hough,Actor/Actress,42,New York,United States,3,3rd Place,999,265.9998,40-50
13,Rob Kardashian,Cheryl Burke,TV Personality,24,California,United States,2,2nd Place,999,243.833,20-30
14,Donald Driver,Peta Murgatroyd,Athlete,37,Texas,United States,1,1st Place,999,271.1665,30-40
14,Gavin DeGraw,Karina Smirnoff,Singer/Rapper,35,New York,United States,9,Eliminated Week 5,5,214.0,30-40
14,Gladys Knight,Tristan MacManus,Singer/Rapper,67,Georgia,United States,8,Eliminated Week 6,6,220.0,60+
14,Jack Wagner,Anna Trebunskaya,Actor/Actress,52,Missouri,United States,11,Eliminated Week 3,3,226.66666666666666,50-60
14,Jaleel White,Kym Johnson,Actor/Actress,35,California,United States,7,Eliminated Week 7,7,259.28542857142855,30-40
14,Katherine Jenkins,Mark Ballas,Singer/Rapper,31,,Wales,2,2nd Place,999,285.49989999999997,30-40
14,Maria Menounos,Derek Hough,TV Personality,33,Massachusetts,United States,4,Eliminated Week 9,9,267.2221111111111,30-40
14,Martina Navratilova,Tony Dovolani,Athlete,55,,Czechoslovakia,12,Eliminated Week 2,2,185.0,50-60
14,Melissa Gilbert,Maksim Chmerkoskiy,Actor/Actress,47,California,United States,5,Eliminated Week 8,8,232.5,40-50
14,Roshon Fegan,Chelsie Hightower,Actor/Actress,20,California,United States,6,Eliminated Week 8,8,259.99975,20-30
14,Sherri Sheperd,Valentin Chmerkovskiy,Actor/Actress,44,Illinois,United States,10,Eliminated Week 4,4,227.5,40-50
14,William Levy,Cheryl Burke,Actor/Actress,31,,Cuba,3,3rd Place,999,277.6666,30-40
15,Apolo Anton Ohno,Karina Smirnoff,Athlete,30,Washington,United States,5,Eliminated Week 9,9,274.4596666666667,30-40
15,Bristol Palin,Mark Ballas,TV Personality,21,Alaska,United States,9,Eliminated Week 4,4,210.0,20-30
15,Drew Lachey,Anna Trebunskaya,Singer/Rapper,36,Ohio,United States,11,Eliminated Week 3,3,226.66666666666666,30-40
15,Emmitt Smith,Cheryl Burke,Athlete,43,Florida,United States,4,Eliminated Week 9,9,271.17255555555556,40-50
15,Gilles Marini,Peta Murgatroyd,Actor/Actress,36,,France,6,Eliminated Week 8,8,278.940625,30-40
15,Helio Castroneves,Chelsie Hightower,Racing Driver,37,,Brazil,10,Eliminated Week 3,3,233.33333333333334,30-40
15,Joey Fatone,Kym Johnson,Singer/Rapper,35,New York,United States,12,Eliminated Week 2,2,215.0,30-40
15,Kelly Monaco,Valentin Chmerkovskiy,Actor/Actress,36,Pennsylvania,United States,3,3rd Place,999,271.9302,30-40
15,Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,61,Kansas,United States,7,Eliminated Week 8,8,242.187375,60+
15,Melissa Rycroft,Tony Dovolani,TV Personality,29,Texas,United States,1,1st Place,999,284.1107,20-30
15,Pamela Anderson,Tristan MacManus,Model,45,,Canada,13,Eliminated Week 1,1,170.0,40-50
15,Sabrina Bryan,Louis van Amstel,Actor/Actress,28,California,United States,8,Eliminated Week 6,6,266.4583333333333,20-30
15,Shawn Johnson,Derek Hough,Athlete,20,Iowa,United States,2,2nd Place,999,283.6524,20-30
16,Alexandra Raisman,Mark Ballas,Athlete,18,Massachusetts,United States,4,Eliminated Week 10,10,264.5,<20
16,Andy Dick,Sharna Burgess,Comedian,47,South Carolina,United States,7,Eliminated Week 7,7,189.28571428571428,40-50
16,D. L. Hughley,Cheryl Burke,Comedian,50,Virginia,United States,9,Eliminated Week 5,5,166.0,50-60
16,Dorothy Hamill,Tristan MacManus,Athlete,56,Illinois,United States,12,Withdrew,-1,36.0,50-60
16,Ingo Rademacher,Kym Johnson,Actor/Actress,41,,Germany,5,Eliminated Week 9,9,225.0,40-50
16,Jacoby Jones,Karina Smirnoff,Athlete,28,Louisiana,United States,3,3rd Place,999,251.9997,20-30
16,Kellie Pickler,Derek Hough,Singer/Rapper,26,North Carolina,United States,1,1st Place,999,267.5,20-30
16,Lisa Vanderpump,Gleb Savchenko,TV Personality,52,,England,10,Eliminated Week 4,4,187.5,50-60
16,Sean Lowe,Peta Murgatroyd,TV Personality,29,Texas,United States,6,Eliminated Week 8,8,215.0,20-30
16,Victor Ortiz,Lindsay Arnold,Athlete,26,Kansas,United States,8,Eliminated Week 6,6,196.66666666666666,20-30
16,Wynonna Judd,Tony Dovolani,Singer/Rapper,48,Kentucky,United States,11,Eliminated Week 3,3,170.0,40-50
16,Zendaya,Valentin Chmerkovskiy,Actor/Actress,16,California,United States,2,2nd Place,999,272.9998,<20
17,Amber Riley,Derek Hough,Actor/Actress,27,California,United States,1,1st Place,999,276.3255454545455,20-30
17,Bill Engvall,Emma Slater,Comedian,56,Texas,United States,4,Eliminated Week 11,11,227.27254545454545,50-60
17,Bill Nye,Tyne Stecklein,TV Personality,57,Washington D.C.,United States,11,Eliminated Week 3,3,156.66666666666666,50-60
17,Brant Daugherty,Peta Murgatroyd,Actor/Actress,28,Ohio,United States,7,Eliminated Week 8,8,258.125,20-30
17,Christina Milian,Mark Ballas,Singer/Rapper,31,New Jersey,United States,9,Eliminated Week 5,5,250.0,30-40
17,Corbin Bleu,Karina Smirnoff,Actor/Actress,24,New York,United States,2,2nd Place,999,276.62845454545453,20-30
17,Elizabeth Berkley Lauren,Valentin Chmerkovskiy,Actor/Actress,39,Michigan,United States,6,Eliminated Week 9,9,265.55533333333335,30-40
17,Jack Osbourne,Cheryl Burke,TV Personality,27,,England,3,3rd Place,999,261.02245454545454,20-30
17,Keyshawn Johnson,Sharna Burgess,Athlete,41,California,United States,12,Eliminated Week 2,2,175.0,40-50
17,Leah Remini,Tony Dovolani,Actor/Actress,43,New York,United States,5,Eliminated Week 10,10,248.87489999999997,40-50
17,"Nicole ""Snooki"" Polizzi",Sasha Farber,TV Personality,25,,Chile,8,Eliminated Week 7,7,251.42857142857142,20-30
17,Valerie Harper,Tristan MacManus,Actor/Actress,74,New York,United States,10,Eliminated Week 4,4,185.0,60+
18,Amy Purdy,Derek Hough,Athlete,34,Nevada,United States,2,2nd Place,999,273.7916,30-40
18,Billy Dee Williams,Emma Slater,Actor/Actress,76,New York,United States,10,Withdrew,-1,30.0,60+
18,Candace Cameron Bure,Mark Ballas,Actor/Actress,37,California,United States,3,3rd Place,999,248.9998,30-40
18,Charlie White,Sharna Burgess,Athlete,26,Michigan,United States,5,Eliminated Week 9,9,270.69444444444446,20-30
18,Cody Simpson,Witney Carson,Singer/Rapper,17,,Australia,9,Eliminated Week 5,5,238.0,<20
18,Danica McKellar,Valentin Chmerkovskiy,Actor/Actress,39,California,United States,6,Eliminated Week 8,8,263.4375,30-40
18,Diana Nyad,Henry Byalikov,Athlete,64,New York,United States,12,Eliminated Week 2,2,90.0,60+
18,Drew Carey,Cheryl Burke,Comedian,55,Ohio,United States,8,Eliminated Week 6,6,223.75,50-60
18,James Maslow,Peta Murgatroyd,Actor/Actress,23,New York,United States,4,Eliminated Week 10,10,266.25,20-30
18,Meryl Davis,Maksim Chmerkoskiy,Athlete,27,Michigan,United States,1,1st Place,999,280.75,20-30
18,NeNe Leakes,Tony Dovolani,TV Personality,46,New York,United States,7,Eliminated Week 7,7,236.78571428571428,40-50
18,Sean Avery,Karina Smirnoff,Athlete,33,,Canada,11,Eliminated Week 2,2,205.0,30-40
