season,celebrity_name,ballroom_partner,celebrity_industry,celebrity_age_during_season,celebrity_homestate,celebrity_homecountry/region,placement,results,elimination_week,avg_judge_score,age_group
19,Alfonso Ribeiro,Witney Carson,Actor/Actress,42,New York,United States,1,1st Place,999,275.45454545454544,40-50
19,Antonio Sabato Jr.,Cheryl Burke,Actor/Actress,42,,Italy,8,Eliminated Week 7,7,213.75,40-50
19,Bethany Mota,Derek Hough,Social Media Personality,18,California,United States,4,Eliminated Week 11,11,270.34090909090907,<20
19,Betsey Johnson,Tony Dovolani,Fashion Designer,72,Connecticut,United States,10,Eliminated Week 4,4,198.75,60+
19,Janel Parrish,Valentin Chmerkovskiy,Actor/Actress,25,Hawaii,United States,3,3rd Place,999,271.3635,20-30
19,Jonathan Bennett,Allison Holker,Actor/Actress,33,Ohio,United States,9,Eliminated Week 6,6,215.0,30-40
19,Lea Thompson,Artem Chigvintsev,Actor/Actress,53,Minnesota,United States,6,Eliminated Week 9,9,254.16666666666666,50-60
19,Lolo Jones,Keo Motsepe,Athlete,32,Iowa,United States,13,Eliminated Week 1,1,165.0,30-40
19,Michael Waltrip,Emma Slater,Racing Driver,51,Kentucky,United States,7,Eliminated Week 8,8,192.1875,50-60
19,Randy Couture,Karina Smirnoff,Athlete,51,Washington,United States,11,Eliminated Week 3,3,212.5,50-60
19,Sadie Robertson,Mark Ballas,TV Personality,17,Louisiana,United States,2,2nd Place,999,263.74990909090906,<20
19,Tavis Smiley,Sharna Burgess,Radio Personality,50,Mississippi,United States,12,Eliminated Week 2,2,213.75,50-60
19,Tommy Chong,Peta Murgatroyd,Comedian,76,,Canada,5,Eliminated Week 10,10,214.875,60+
20,Charlotte McKinney,Keo Motsepe,Model,21,Florida,United States,11,Eliminated Week 3,3,175.0,20-30
20,Chris Soules,Witney Carson,TV Personality,33,Iowa,United States,5,Eliminated Week 8,8,212.8125,30-40
20,Michael Sam,Peta Murgatroyd,Athlete,25,Texas,United States,10,Eliminated Week 4,4,202.5,20-30
20,Nastia Liukin,Derek Hough,Athlete,25,,Russia,4,Eliminated Week 9,9,272.9166666666667,20-30
20,Noah Galloway,Sharna Burgess,Motivational Speaker,33,Alabama,United States,3,3rd Place,999,240.375,30-40
20,Patti LaBelle,Artem Chigvintsev,Singer/Rapper,70,Pennsylvania,United States,8,Eliminated Week 6,6,207.5,60+
20,Redfoo,Emma Slater,Singer/Rapper,39,California,United States,12,Eliminated Week 2,2,198.75,30-40
20,Riker Lynch,Allison Holker,Actor/Actress,23,Colorado,United States,2,2nd Place,999,272.25,20-30
20,Robert Herjavec,Kym Johnson,Entrepreneur,52,,Croatia,6,Eliminated Week 8,8,223.59375,50-60
20,Rumer Willis,Valentin Chmerkovskiy,Actor/Actress,26,Kentucky,United States,1,1st Place,999,271.875,20-30
20,Suzanne Somers,Tony Dovolani,Actor/Actress,68,California,United States,9,Eliminated Week 5,5,201.0,60+
20,Willow Shields,Mark Ballas,Actor/Actress,14,New Mexico,United States,7,Eliminated Week 7,7,254.46428571428572,<20
21,Alek Skarlatos,Lindsay Arnold,Military,22,California,United States,3,3rd Place,999,246.36354545454543,20-30
21,Alexa PenaVega,Mark Ballas,Actor/Actress,27,Florida,United States,6,Eliminated Week 9,9,255.55533333333335,20-30
21,Andy Grammer,Allison Holker,Singer/Rapper,31,California,United States,7,Eliminated Week 8,8,245.93725,30-40
21,Bindi Irwin,Derek Hough,TV Personality,17,,Australia,1,1st Place,999,278.40909090909093,<20
21,Carlos PenaVega,Witney Carson,Actor/Actress,26,Missouri,United States,4,Eliminated Week 11,11,269.99981818181817,20-30
21,Chaka Khan,Keo Motsepe,Singer/Rapper,62,Illinois,United States,13,Eliminated Week 2,2,140.0,60+
21,Gary Busey,Anna Trebunskaya,Actor/Actress,71,Texas,United States,10,Eliminated Week 4,4,165.625,60+
21,Hayes Grier,Emma Slater,Social Media Personality,15,North Carolina,United States,8,Eliminated Week 7,7,239.28571428571428,<20
21,Kim Zolciak-Biermann,Tony Dovolani,TV Personality,37,Florida,United States,11,Withdrew,-1,27.727272727272727,30-40
21,Nick Carter,Sharna Burgess,Singer/Rapper,35,New York,United States,2,2nd Place,999,273.1818181818182,30-40
21,Paula Deen,Louis van Amstel,TV Personality,68,Georgia,United States,9,Eliminated Week 6,6,173.33333333333334,60+
21,Tamar Braxton,Valentin Chmerkovskiy,Singer/Rapper,38,Maryland,United States,5,Withdrew,-1,209.54545454545453,30-40
21,Victor Espinoza,Karina Smirnoff,Athlete,43,,Mexico,12,Eliminated Week 2,2,167.5,40-50
22,Antonio Brown,Sharna Burgess,Athlete,27,Florida,United States,5,Eliminated Week 9,9,236.94444444444446,20-30
22,Doug Flutie,Karina Smirnoff,Athlete,53,Maryland,United States,9,Eliminated Week 6,6,191.66666666666666,50-60
22,Geraldo Rivera,Edyta Sliwinska,Journalist,72,New York,United States,12,Eliminated Week 2,2,130.0,60+
22,Ginger Zee,Valentin Chmerkovskiy,News Anchor,35,California,United States,3,3rd Place,999,253.83319999999998,30-40
22,Jodie Sweetin,Keo Motsepe,Actor/Actress,34,California,United States,6,Eliminated Week 8,8,238.75,30-40
22,Kim Fields,Sasha Farber,Actor/Actress,46,New York,United States,8,Eliminated Week 7,7,222.85714285714286,40-50
22,Marla Maples,Tony Dovolani,TV Personality,52,Georgia,United States,10,Eliminated Week 4,4,207.5,50-60
22,Mischa Barton,Artem Chigvintsev,Actor/Actress,30,,England,11,Eliminated Week 3,3,163.33333333333334,30-40
22,Nyle DiMarco,Peta Murgatroyd,Model,26,New York,United States,1,1st Place,999,260.7498,20-30
22,Paige VanZant,Mark Ballas,Athlete,22,Oregon,United States,2,2nd Place,999,260.9166,20-30
22,Von Miller,Witney Carson,Athlete,27,Texas,United States,7,Eliminated Week 7,7,223.92857142857142,20-30
22,Wanya Morris,Lindsay Arnold,Singer/Rapper,42,Pennsylvania,United States,4,Eliminated Week 9,9,256.94444444444446,40-50
23,Amber Rose,Maksim Chmerkoskiy,Model,32,Pennsylvania,United States,9,Eliminated Week 6,6,206.25,30-40
23,Babyface,Allison Holker,Singer/Rapper,57,Indiana,United States,11,Eliminated Week 4,4,196.875,50-60
23,Calvin Johnson Jr.,Lindsay Arnold,Athlete,30,Georgia,United States,3,3rd Place,999,255.90893181818183,30-40
23,Jake T. Austin,Jenna Johnson,Actor/Actress,21,New York,United States,13,Eliminated Week 2,2,172.5,20-30
23,James Hinchcliffe,Sharna Burgess,Racing Driver,29,,Canada,2,2nd Place,999,273.4087727272727,20-30
23,Jana Kramer,Gleb Savchenko,Singer/Rapper,32,Michigan,United States,4,Eliminated Week 11,11,256.3636363636364,30-40
23,Laurie Hernandez,Valentin Chmerkovskiy,Athlete,16,New Jersey,United States,1,1st Place,999,274.20445454545455,<20
23,Marilu Henner,Derek Hough,Actor/Actress,64,Illinois,United States,6,Eliminated Week 9,9,232.22222222222223,60+
23,Maureen McCormick,Artem Chigvintsev,Actor/Actress,60,California,United States,8,Eliminated Week 7,7,218.57142857142858,60+
23,Rick Perry,Emma Slater,Politician,66,Texas,United States,12,Eliminated Week 3,3,162.5,60+
23,Ryan Lochte,Cheryl Burke,Athlete,32,New York,United States,7,Eliminated Week 8,8,217.5,30-40
23,Terra Jole,Sasha Farber,TV Personality,36,Texas,United States,5,Eliminated Week 10,10,247.375,30-40
23,Vanilla Ice,Witney Carson,Singer/Rapper,48,Texas,United States,10,Eliminated Week 4,4,196.25,40-50
24,Bonner Bolton,Sharna Burgess,Athlete,29,Texas,United States,5,Eliminated Week 8,8,213.28125,20-30
24,Charo,Keo Motsepe,Actor/Actress,66,,Spain,11,Eliminated Week 3,3,175.0,60+
24,Chris Kattan,Witney Carson,Comedian,46,California,United States,12,Eliminated Week 2,2,146.25,40-50
24,David Ross,Lindsay Arnold,Athlete,40,Georgia,United States,2,2nd Place,999,234.624975,40-50
24,Erika Jayne,Gleb Savchenko,Singer/Rapper,45,Georgia,United States,9,Eliminated Week 5,5,210.0,40-50
24,Heather Morris,Maksim Chmerkoskiy,Actor/Actress,30,California,United States,8,Eliminated Week 6,6,246.25,30-40
24,Mr. T,Kym Herjavec,Actor/Actress,64,Illinois,United States,10,Eliminated Week 4,4,176.25,60+
24,Nancy Kerrigan,Artem Chigvintsev,Athlete,47,Massachusetts,United States,7,Eliminated Week 7,7,243.75,40-50
24,Nick Viall,Peta Murgatroyd,TV Personality,36,Wisconsin,United States,6,Eliminated Week 7,7,218.03571428571428,30-40
24,Normani,Valentin Chmerkovskiy,Singer/Rapper,20,Georgia,United States,3,3rd Place,999,269.12489999999997,20-30
24,Rashad Jennings,Emma Slater,Athlete,32,Virginia,United States,1,1st Place,999,263.74995,30-40
24,Simone Biles,Sasha Farber,Athlete,20,Ohio,United States,4,Eliminated Week 9,9,263.75,20-30
25,Barbara Corcoran,Keo Motsepe,Entrepreneur,68,New Jersey,United States,13,Eliminated Week 2,2,155.0,60+
25,Debbie Gibson,Alan Bersten,Singer/Rapper,47,New York,United States,12,Eliminated Week 2,2,187.5,40-50
25,Derek Fisher,Sharna Burgess,Athlete,43,Arkansas,United States,11,Eliminated Week 4,4,202.5,40-50
25,Drew Scott,Emma Slater,TV Personality,39,,Canada,4,Eliminated Week 10,10,235.125,30-40
25,Frankie Muniz,Witney Carson,Actor/Actress,31,New Jersey,United States,3,3rd Place,999,251.416525,30-40
25,Jordan Fisher,Lindsay Arnold,Actor/Actress,23,Alabama,United States,1,1st Place,999,275.25,20-30
25,Lindsey Stirling,Mark Ballas,Musician,31,California,United States,2,2nd Place,999,266.5,30-40
25,Nick Lachey,Peta Murgatroyd,Singer/Rapper,43,Kentucky,United States,9,Eliminated Week 6,6,202.5,40-50
25,Nikki Bella,Artem Chigvintsev,Athlete,33,California,United States,8,Eliminated Week 7,7,232.14285714285714,30-40
25,Sasha Pieterse,Gleb Savchenko,Actor/Actress,21,,South Africa,10,Eliminated Week 5,5,215.0,20-30
25,Terrell Owens,Cheryl Burke,Athlete,43,Alabama,United States,6,Eliminated Week 8,8,227.8125,40-50
25,Vanessa Lachey,Maksim Chmerkoskiy,TV Personality,36,,Philippines,7,Eliminated Week 7,7,242.14285714285714,30-40
25,Victoria Arlen,Valentin Chmerkovskiy,Athlete,22,New Hamshire,United States,5,Eliminated Week 9,9,245.27777777777777,20-30
26,Adam Rippon,Jenna Johnson,Athlete,28,Pennsylvania,United States,1,1st Place,999,278.75,20-30
26,Arike Ogunbowale,Gleb Savchenko,Athlete,21,Wisconsin,United States,7,Eliminated Week 2,2,231.25,20-30
26,Chris Mazdzer,Witney Carson,Athlete,29,Massachusetts,United States,5,Eliminated Week 3,3,235.0,20-30
26,Jamie Anderson,Artem Chigvintsev,Athlete,27,California,United States,10,Eliminated Week 1,1,190.0,20-30
26,Jennie Finch Daigle,Keo Motsepe,Athlete,37,California,United States,6,Eliminated Week 3,3,221.25,30-40
26,Johnny Damon,Emma Slater,Athlete,44,Kansas,United States,9,Eliminated Week 1,1,180.0,40-50
26,Josh Norman,Sharna Burgess,Athlete,30,South Carolina,United States,2,2nd Place,999,261.5625,30-40
26,Kareem Abdul-Jabbar,Lindsay Arnold,Athlete,71,New York,United States,8,Eliminated Week 2,2,195.625,60+
26,Mirai Nagasu,Alan Bersten,Athlete,25,California,United States,4,Eliminated Week 3,3,256.6666666666667,20-30
26,Tonya Harding,Sasha Farber,Athlete,47,Oregon,United States,3,3rd Place,999,255.0,40-50
27,Alexis Ren,Alan Bersten,Social Media Personality,21,California,United States,4,4th Place,999,265.0,20-30
27,Bobby Bones,Sharna Burgess,Radio Personality,38,Arkansas,United States,1,1st Place,999,223.88888888888889,30-40
27,Danelle Umstead,Artem Chigvintsev,Athlete,46,New Mexico,United States,12,Eliminated Week 2,2,182.5,40-50
27,DeMarcus Ware,Lindsay Arnold,Athlete,36,Alabama,United States,7,Eliminated Week 7,7,247.14285714285714,30-40
27,Evanna Lynch,Keo Motsepe,Actor/Actress,27,,Ireland,3,3rd Place,999,260.55555555555554,20-30
27,Joe Amabile,Jenna Johnson,TV Personality,32,Illinois,United States,6,Eliminated Week 8,8,187.5,30-40
27,John Schneider,Emma Slater,Actor/Actress,58,New York,United States,8,Eliminated Week 7,7,216.42857142857142,50-60
27,Juan Pablo Di Pace,Cheryl Burke,Actor/Actress,39,,Argentina,5,Eliminated Week 8,8,273.75,30-40
27,Mary Lou Retton,Sasha Farber,Athlete,50,West Virginia,United States,9,Eliminated Week 6,6,236.66666666666666,50-60
27,Milo Manheim,Witney Carson,Actor/Actress,17,California,United States,2,2nd Place,999,272.77777777777777,<20
27,Nancy McKeon,Valentin Chmerkovskiy,Actor/Actress,52,New York,United States,11,Eliminated Week 3,3,206.66666666666666,50-60
27,Nikki Glaser,Gleb Savchenko,Comedian,34,Ohio,United States,13,Eliminated Week 1,1,175.0,30-40
27,Tinashe,Brandon Armstrong,Singer/Rapper,25,Kentucky,United States,10,Eliminated Week 4,4,255.0,20-30
28,Ally Brooke,Sasha Farber,Singer/Rapper,26,Texas,United States,3,3rd Place,999,256.8181818181818,20-30
28,Hannah Brown,Alan Bersten,TV Personality,24,Alabama,United States,1,1st Place,999,252.38618181818183,20-30
28,James Van Der Beek,Emma Slater,Actor/Actress,42,Connecticut,United States,5,Eliminated Week 10,10,249.4998,40-50
28,Karamo Brown,Jenna Johnson,TV Personality,38,Texas,United States,8,Eliminated Week 7,7,205.0,30-40
28,Kate Flannery,Pasha Pashkov,Actor/Actress,55,Pennsylvania,United States,7,Eliminated Week 8,8,225.62475,50-60
28,Kel Mitchell,Witney Carson,Actor/Actress,41,Illinois,United States,2,2nd Place,999,248.4089090909091,40-50
28,Lamar Odom,Peta Murgatroyd,Athlete,39,New York,United States,10,Eliminated Week 4,4,125.0,30-40
28,Lauren Alaina,Gleb Savchenko,Singer/Rapper,24,Georgia,United States,4,4th Place,999,239.77272727272728,20-30
28,Mary Wilson,Brandon Armstrong,Singer/Rapper,75,Nevada,United States,12,Eliminated Week 2,2,160.0,60+
28,Ray Lewis,Cheryl Burke,Athlete,44,Florida,United States,11,Withdrew,-1,27.272727272727273,40-50
28,Sailor Brinkley-Cook,Valentin Chmerkovskiy,Model,21,New York,United States,9,Eliminated Week 6,6,222.08333333333334,20-30
28,Sean Spicer,Lindsay Arnold,Politician,48,New York,United States,6,Eliminated Week 9,9,176.11111111111111,40-50
29,AJ McLean,Cheryl Burke,Singer/Rapper,42,Florida,United States,7,Eliminated Week 9,9,234.44422222222224,40-50
29,Anne Heche,Keo Motsepe,Actor/Actress,51,Ohio,United States,13,Eliminated Week 4,4,180.0,50-60
29,Carole Baskin,Pasha Pashkov,TV Personality,59,Texas,United States,14,Eliminated Week 3,3,130.0,50-60
29,Charles Oakley,Emma Slater,Athlete,56,Ohio,United States,15,Eliminated Week 2,2,135.0,50-60
29,Chrishell Stause,Gleb Savchenko,Actor/Actress,39,Kentucky,United States,8,Eliminated Week 8,8,213.75,30-40
29,Jeannie Mai,Brandon Armstrong,TV Personality,41,California,United States,9,Withdrew,-1,139.0909090909091,40-50
29,Jesse Metcalfe,Sharna Burgess,Actor/Actress,41,California,United States,12,Eliminated Week 5,5,196.0,40-50
29,Johnny Weir,Britt Stewart,Athlete,36,Pennsylvania,United States,6,Eliminated Week 10,10,250.5,30-40
29,Justina Machado,Sasha Farber,Actor/Actress,48,Illinois,United States,4,4th Place,999,250.90872727272728,40-50
29,Kaitlyn Bristowe,Artem Chigvintsev,TV Personality,35,,Canada,1,1st Place,999,260.0,30-40
29,Monica Aldama,Valentin Chmerkovskiy,TV Personality,48,Alabama,United States,10,Eliminated Week 7,7,221.42857142857142,40-50
29,Nelly,Daniella Karagach,Singer/Rapper,45,Texas,United States,3,3rd Place,999,229.54545454545453,40-50
29,Nev Schulman,Jenna Johnson,Producer,35,New York,United States,2,2nd Place,999,263.6361818181818,30-40
29,Skai Jackson,Alan Bersten,Actor/Actress,18,New York,United States,5,Eliminated Week 10,10,235.49960000000002,<20
29,Veron Davis,Peta Murgatroyd,Athlete,36,Washington D.C.,United States,11,Eliminated Week 6,6,201.66666666666666,30-40
30,Amanda Kloots,Alan Bersten,TV Personality,39,Ohio,United States,4,4th Place,999,268.125,30-40
30,Brian Austin Green,Sharna Burgess,Actor/Actress,48,California,United States,13,Eliminated Week 4,4,184.375,40-50
30,Christine Chiu,Pasha Pashkov,TV Personality,38,,Taiwan China,14,Eliminated Week 3,3,192.5,30-40
30,Cody Rigsby,Cheryl Burke,Fitness Instructor,34,California,United States,3,3rd Place,999,237.375,30-40
30,Iman Shumpert,Daniella Karagach,Athlete,31,Illinois,United States,1,1st Place,999,238.0,30-40
30,Jimmie Allen,Emma Slater,Singer/Rapper,36,Delaware,United States,7,Eliminated Week 8,8,234.53125,30-40
30,JoJo Siwa,Jenna Johnson,Social Media Personality,18,Nebraska,United States,2,2nd Place,999,275.25,<20
30,Kenya Moore,Brandon Armstrong,TV Personality,50,Michigan,United States,10,Eliminated Week 6,6,219.375,50-60
30,Martin Kove,Britt Stewart,Actor/Actress,75,New York,United States,15,Eliminated Week 2,2,105.0,60+
30,Matt James,Lindsay Arnold,Athlete,29,North Carolina,United States,12,Eliminated Week 4,4,189.6875,20-30
30,Melanie C,Gleb Savchenko,Singer/Rapper,47,,England,11,Eliminated Week 5,5,233.0,40-50
30,Melora Hardin,Artem Chigvintsev,Actor/Actress,54,Texas,United States,6,Eliminated Week 9,9,255.13888888888889,50-60
30,"Mike ""The Miz"" Mizanin",Witney Carson,Athlete,40,Ohio,United States,9,Eliminated Week 7,7,224.82142857142858,40-50
30,Olivia Jade,Valentin Chmerkovskiy,Social Media Personality,21,California,United States,8,Eliminated Week 8,8,252.1875,20-30
30,Suni Lee,Sasha Farber,Athlete,18,Minnesota,United States,5,Eliminated Week 9,9,252.91666666666666,<20
31,Charli D'Amelio,Mark Ballas,Social Media Personality,18,Connecticut,United States,1,1st Place,999,284.25,<20
31,Cheryl Ladd,Louis van Amstel,Actor/Actress,71,South Dakota,United States,14,Eliminated Week 3,3,165.0,60+
31,Daniel Durant,Britt Stewart,Actor/Actress,32,Michigan,United States,5,Eliminated Week 9,9,244.58333333333334,30-40
31,Gabby Windey,Valentin Chmerkovskiy,TV Personality,31,Illinois,United States,2,2nd Place,999,271.875,30-40
31,Heidi D'Amelio,Artem Chigvintsev,Social Media Personality,50,Louisiana,United States,8,Eliminated Week 8,8,246.5625,50-60
31,Jason Lewis,Peta Murgatroyd,Actor/Actress,51,California,United States,16,Eliminated Week 1,1,135.0,50-60
31,Jessie James Decker,Alan Bersten,Singer/Rapper,34,,Italy,10,Eliminated Week 6,6,212.5,30-40
31,Jordin Sparks,Brandon Armstrong,Singer/Rapper,32,Arizona,United States,9,Eliminated Week 7,7,235.71428571428572,30-40
31,Joseph Baena,Daniella Karagach,Actor/Actress,24,California,United States,11,Eliminated Week 5,5,208.5,20-30
31,Sam Champion,Cheryl Burke,News Anchor,61,Kentucky,United States,13,Eliminated Week 4,4,180.0,60+
31,Selma Blair,Sasha Farber,Actor/Actress,50,Michigan,United States,12,Withdrew,-1,117.0,50-60
31,Shangela,Gleb Savchenko,TV Personality,40,Texas,United States,4,4th Place,999,259.125,40-50
31,Teresa Giudice,Pasha Pashkov,TV Personality,50,New Jersey,United States,15,Eliminated Week 2,2,161.25,50-60
31,Trevor Donovan,Emma Slater,Actor/Actress,39,California,United States,6,Eliminated Week 9,9,238.75,30-40
31,Vinny Guadagnino,Koko Iwasaki,TV Personality,34,New York,United States,7,Eliminated Week 8,8,202.03125,30-40
31,Wayne Brady,Witney Carson,Comedian,50,Georgia,United States,3,3rd Place,999,271.875,50-60
32,Adrian Peterson,Britt Stewart,Athlete,38,Texas,United States,11,Eliminated Week 4,4,176.25,30-40
32,Alyson Hannigan,Sasha Farber,Actor/Actress,49,Washington D.C.,United States,5,5th Place,999,219.54545454545453,40-50
32,Ariana Madix,Pasha Pashkov,TV Personality,38,Florida,United States,3,3rd Place,999,265.22727272727275,30-40
32,Barry Williams,Peta Murgatroyd,Actor/Actress,68,California,United States,7,Eliminated Week 8,8,207.96875,60+
32,Charity Lawson,Artem Chigvintsev,TV Personality,27,Georgia,United States,4,4th Place,999,264.77272727272725,20-30
32,Harry Jowsey,Rylee Arnold,TV Personality,26,,Australia,6,Eliminated Week 9,9,192.5,20-30
32,Jamie Lynn Spears,Alan Bersten,Actor/Actress,32,Mississippi,United States,13,Eliminated Week 2,2,155.0,30-40
32,Jason Mraz,Daniella Karagach,Singer/Rapper,46,Virginia,United States,2,2nd Place,999,266.59090909090907,40-50
32,Lele Pons,Brandon Armstrong,Social Media Personality,27,,Venezuela,8,Eliminated Week 7,7,230.53571428571428,20-30
32,Matt Walsh,Koko Iwasaki,Comedian,58,Illinois,United States,14,Eliminated Week 1,1,120.0,50-60
32,Mauricio Umansky,Emma Slater,TV Personality,53,,Mexico,9,Eliminated Week 6,6,186.66666666666666,50-60
32,Mira Sorvino,Gleb Savchenko,Actor/Actress,55,New York,United States,10,Eliminated Week 5,5,195.0,50-60
32,Tyson Beckford,Jenna Johnson,Model,52,New York,United States,12,Eliminated Week 3,3,150.0,50-60
32,Xochitl Gomez,Valentin Chmerkovskiy,Actor/Actress,17,California,United States,1,1st Place,999,273.6363636363636,<20
33,Anna Delvey,Ezra Sosa,Con artist,33,,Russia,12,Eliminated Week 2,2,175.0,30-40
33,Brooks Nader,Gleb Savchenko,Model,27,New York,United States,9,Eliminated Week 4,4,212.1875,20-30
33,Chandler Kinney,Brandon Armstrong,Actor/Actress,24,California,United States,3,3rd Place,999,272.0833333333333,20-30
33,Danny Amendola,Witney Carson,Athlete,39,Texas,United States,5,5th Place,999,249.44444444444446,30-40
33,Dwight HowardÂ ,Daniella Karagach,Athlete,38,Georgia,United States,6,Eliminated Week 7,7,234.64285714285714,30-40
33,Eric Roberts,Britt Stewart,Actor/Actress,68,California,United States,10,Eliminated Week 3,3,157.5,60+
33,Ilona Maher,Alan Bersten,Athlete,28,California,United States,2,2nd Place,999,241.11111111111111,20-30
33,Jenn Tran,Sasha Farber,TV Personality,26,Florida,United States,7,Eliminated Week 6,6,236.25,20-30
33,Joey Graziadei,Jenna Johnson,TV Personality,29,Louisiana,United States,1,1st Place,999,266.94444444444446,20-30
33,Phaedra Parks,Val Chmerkovskiy,TV Personality,51,Georgia,United States,8,Eliminated Week 5,5,218.0,50-60
33,Reginald VelJohnson,Emma Slater,Actor/Actress,74,New York,United States,10,Eliminated Week 3,3,155.83333333333334,60+
33,Stephen Nedoroscik,Rylee Arnold,Athlete,26,Florida,United States,4,4th Place,999,251.11111111111111,20-30
33,Tori Spelling,Pasha Pashkov,Actor/Actress,51,California,United States,12,Eliminated Week 2,2,180.0,50-60
34,Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),Social media personality,24,Florida,United States,2,2nd Place,999,263.75,20-30
34,Andy Richter,Emma Slater/Kaitlyn Bristowe (week 9),Comedian,59,California,United States,7,Eliminated Week 9,9,191.94444444444446,50-60
34,Baron Davis,Britt Stewart,Athlete,46,California,United States,13,Eliminated Week 2,2,165.0,40-50
34,Corey Feldman,Jenna Johnson,Actor/Actress,54,California,United States,13,Eliminated Week 2,2,142.5,50-60
34,Danielle Fishel,Pasha Pashkov,Actor/Actress,44,California,United States,8,Eliminated Week 8,8,227.1875,40-50
34,Dylan Efron,Daniella Karagach (Rumer Willis week 9),TV Personality,33,California,United States,4,4th Place,999,252.1210909090909,30-40
34,Elaine Hendrix,Alan Bersten (Rashad Jennings week 9),Actor/Actress,55,Georgia,United States,5,5th Place,999,245.568,50-60
34,Hilaria Baldwin,Gleb Savchenko,Entrepreneur,41,New York,United States,11,Eliminated Week 4,4,217.5,40-50
34,Jen Affleck,Jan Ravnik,TV Personality,26,Utah,United States,9,Eliminated Week 7,7,218.92857142857142,20-30
34,Jordan Chiles,Ezra Sosa (Apolo Anton Ohno week 9),Athlete,24,Texas,United States,3,3rd Place,999,257.65145454545456,20-30
34,Lauren Jauregui,Brandon Armstrong,Singer/Rapper,29,Florida,United States,12,Eliminated Week 3,3,195.0,20-30
34,Robert Irwin,Witney Carson (Xoshitl Gomez week 9),Conservationist,22,,Australia,1,1st Place,999,265.15145454545456,20-30
34,Scott Hoying,Rylee Arnold,Singer/Rapper,34,California,United States,10,Eliminated Week 6,6,199.16666666666666,30-40
34,Whitney Leavitt,Mark Ballas,TV Personality,32,Utah,United States,6,Eliminated Week 10,10,269.125,30-40
